Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,Subset,NK
19521_B1_B01_006.fcs,19521,19521_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,52.3
22119_C9_C09_057.fcs,22119,22119_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,14
22119_C9_C09_057.fcs,22119,22119_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,66.1
4519_F1_F01_054.fcs,4519,4519_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,35.1
4519_F1_F01_054.fcs,4519,4519_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,41.1
4119_C5_C05_029.fcs,4119,4119_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,22.5
4119_C5_C05_029.fcs,4119,4119_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,60.4
4219_C5_C05_029.fcs,4219,4219_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,10.3
4219_C5_C05_029.fcs,4219,4219_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,82.2
21919_G1_G01_025.fcs,21919,21919_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,19
21919_G1_G01_025.fcs,21919,21919_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,70.1
22619_C1_C01_009.fcs,22619,22619_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,24.3
22619_C1_C01_009.fcs,22619,22619_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,63
21819_C5_C05_041.fcs,21819,21819_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,12.1
21819_C5_C05_041.fcs,21819,21819_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,68.9
21219_B5_B05_018.fcs,21219,21219_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,16.1
21219_B5_B05_018.fcs,21219,21219_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,69
21519_G1_G01_025.fcs,21519,21519_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,17.8
21519_G1_G01_025.fcs,21519,21519_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,71.1
10221_C1_C01_009.fcs,10221,10221_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,21.2
10221_C1_C01_009.fcs,10221,10221_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,66
9621_C1_C01_009.fcs,9621,9621_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,14.5
9621_C1_C01_009.fcs,9621,9621_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,72.5
5219_F5_F05_070.fcs,5219,5219_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,1.23
5219_F5_F05_070.fcs,5219,5219_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,43.2
4319_G5_G05_057.fcs,4319,4319_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,9.52
4319_G5_G05_057.fcs,4319,4319_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,56.8
4819_C5_C05_041.fcs,4819,4819_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,13.3
4819_C5_C05_041.fcs,4819,4819_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,73.1
20221_D1_D01_013.fcs,20221,20221_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,23.5
20221_D1_D01_013.fcs,20221,20221_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,61.9
19521_C1_C01_010.fcs,19521,19521_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,42.2
19521_C1_C01_010.fcs,19521,19521_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,48.3
22119_D9_D09_061.fcs,22119,22119_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,9.76
22119_D9_D09_061.fcs,22119,22119_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,69.1
4519_G1_G01_058.fcs,4519,4519_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,13
4519_G1_G01_058.fcs,4519,4519_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,64.3
4119_D5_D05_033.fcs,4119,4119_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,22.3
4119_D5_D05_033.fcs,4119,4119_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,54.9
4219_D5_D05_033.fcs,4219,4219_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,13
4219_D5_D05_033.fcs,4219,4219_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,75.7
21919_H1_H01_029.fcs,21919,21919_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,13.3
21919_H1_H01_029.fcs,21919,21919_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,79
22619_D1_D01_013.fcs,22619,22619_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,27.4
22619_D1_D01_013.fcs,22619,22619_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,55.4
21819_D5_D05_045.fcs,21819,21819_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,17.4
21819_D5_D05_045.fcs,21819,21819_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,55.6
21219_C5_C05_022.fcs,21219,21219_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,7.19
21219_C5_C05_022.fcs,21219,21219_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,67.1
21519_H1_H01_029.fcs,21519,21519_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,17.7
21519_H1_H01_029.fcs,21519,21519_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,67.4
10221_D1_D01_013.fcs,10221,10221_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,14.7
10221_D1_D01_013.fcs,10221,10221_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,75.6
9621_D1_D01_013.fcs,9621,9621_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,14.5
9621_D1_D01_013.fcs,9621,9621_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,67.9
5219_G5_G05_074.fcs,5219,5219_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,8.52
5219_G5_G05_074.fcs,5219,5219_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,71.6
4319_H5_H05_061.fcs,4319,4319_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,14.9
4319_H5_H05_061.fcs,4319,4319_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,47.9
4819_D5_D05_045.fcs,4819,4819_PBMC_wk8,Unstim,PBMC,W8,CD69+GZMB+,9.59
4819_D5_D05_045.fcs,4819,4819_PBMC_wk8,Unstim,PBMC,W8,CD69-GZMB+,76.5
