Sample.,PTID,SAMPLE_ID,TimePoint,STIM,Tissue,Subset,CD4,CD8ab,CD8aa
SEDXX6_BAL_8wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk8_MtbL,W8,Mtb_lysate,BAL,CD154,10,3,10.79
SEDXX7_BAL_8wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk8_MtbL,W8,Mtb_lysate,BAL,CD154,23.19,2.41,9.52
SEDXX5_BAL_wk8_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk8_MtbL,W8,Mtb_lysate,BAL,IFNg,27.68,26.96,40.41
SEDXX2_BAL_8wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk8_MtbL,W8,Mtb_lysate,BAL,IFNg,22.71,27.37,35.42
SEDXX6_BAL_8wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk8_MtbL,W8,Mtb_lysate,BAL,IFNg,17,35.29,28.99
SEDXX7_BAL_8wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk8_MtbL,W8,Mtb_lysate,BAL,IFNg,24.76,22.34,31.53
SEDXX5_BAL_wk8_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk8_MtbL,W8,Mtb_lysate,BAL,TNF,10.96,5.95,12.83
SEDXX2_BAL_8wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk8_MtbL,W8,Mtb_lysate,BAL,TNF,8.39,5.49,11.81
SEDXX6_BAL_8wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk8_MtbL,W8,Mtb_lysate,BAL,TNF,7.44,12.21,11.87
SEDXX7_BAL_8wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk8_MtbL,W8,Mtb_lysate,BAL,TNF,17.12,7.76,15.26
SEDXX5_BAL_wk8_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk8_MtbL,W8,Mtb_lysate,BAL,IL-2,2.03,0.393,1.42
SEDXX2_BAL_8wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk8_MtbL,W8,Mtb_lysate,BAL,IL-2,1.58,0.671,2.075
